step,x,y,z,mass
17,7.17816,34.9958,-16.9852,2e+12
17,47.8619,41.9669,-11.0233,3e+12
18,-7.93554,-12.8803,-33.9552,1e+12
18,7.19801,34.9953,-16.9836,2e+12
18,47.8465,41.9632,-11.0259,3e+12
19,-7.92874,-12.8677,-33.9504,1e+12
19,7.21892,34.9948,-16.9818,2e+12
19,47.8303,41.9594,-11.0286,3e+12
20,-7.9216,-12.8545,-33.9455,1e+12
20,7.24089,34.9943,-16.98,2e+12
20,47.8133,41.9553,-11.0315,3e+12
21,-7.91412,-12.8406,-33.9403,1e+12
21,7.26392,34.9938,-16.9781,2e+12
21,47.7954,41.951,-11.0345,3e+12
22,-7.90629,-12.8261,-33.9348,1e+12
22,7.28801,34.9932,-16.9761,2e+12
22,47.7768,41.9465,-11.0377,3e+12
23,-7.89813,-12.8109,-33.9292,1e+12
23,7.31317,34.9927,-16.974,2e+12
23,47.7573,41.9419,-11.041,3e+12
24,-7.88962,-12.7952,-33.9232,1e+12
24,7.33939,34.9921,-16.9718,2e+12
24,47.7369,41.937,-11.0444,3e+12
25,-7.88076,-12.7788,-33.9171,1e+12
25,7.36669,34.9915,-16.9695,2e+12
25,47.7158,41.9319,-11.048,3e+12
26,-7.87156,-12.7617,-33.9107,1e+12
26,7.39506,34.9909,-16.9671,2e+12
26,47.6938,41.9267,-11.0517,3e+12
27,-7.86201,-12.7441,-33.9041,1e+12
27,7.4245,34.9902,-16.9647,2e+12
27,47.671,41.9212,-11.0555,3e+12
28,-7.85212,-12.7257,-33.8972,1e+12
28,7.45502,34.9896,-16.9621,2e+12
28,47.6474,41.9155,-11.0595,3e+12
29,-7.84189,-12.7068,-33.8901,1e+12
29,7.48662,34.9889,-16.9595,2e+12
29,47.6229,41.9097,-11.0636,3e+12
30,-7.8313,-12.6872,-33.8828,1e+12
30,7.51931,34.9882,-16.9567,2e+12
30,47.5976,41.9036,-11.0679,3e+12
31,-7.82037,-12.667,-33.8752,1e+12
31,7.55308,34.9875,-16.9539,2e+12
31,47.5714,41.8973,-11.0723,3e+12
32,-7.8091,-12.6462,-33.8674,1e+12
32,7.58795,34.9868,-16.951,2e+12
32,47.5444,41.8909,-11.0769,3e+12
33,-7.79747,-12.6247,-33.8593,1e+12
33,7.6239,34.986,-16.948,2e+12
33,47.5166,41.8842,-11.0816,3e+12
34,-7.7855,-12.6025,-33.851,1e+12
34,7.66096,34.9853,-16.9448,2e+12
34,47.4879,41.8773,-11.0864,3e+12
35,-7.77317,-12.5798,-33.8425,1e+12
35,7.69911,34.9845,-16.9416,2e+12
35,47.4583,41.8702,-11.0914,3e+12
36,-7.7605,-12.5564,-33.8337,1e+12
36,7.73837,34.9838,-16.9383,2e+12
36,47.4279,41.863,-11.0965,3e+12
37,-7.74748,-12.5323,-33.8247,1e+12
37,7.77873,34.983,-16.9349,2e+12
37,47.3967,41.8555,-11.1018,3e+12
38,-7.7341,-12.5077,-33.8155,1e+12
38,7.82021,34.9822,-16.9314,2e+12
38,47.3646,41.8478,-11.1072,3e+12
39,-7.72038,-12.4823,-33.806,1e+12
39,7.86281,34.9814,-16.9278,2e+12
39,47.3316,41.8399,-11.1128,3e+12
40,-7.7063,-12.4564,-33.7962,1e+12
40,7.90652,34.9805,-16.9241,2e+12
40,47.2978,41.8318,-11.1185,3e+12
41,-7.69187,-12.4298,-33.7863,1e+12
41,7.95136,34.9797,-16.9203,2e+12
41,47.263,41.8235,-11.1244,3e+12
42,-7.67708,-12.4026,-33.776,1e+12
42,7.99733,34.9789,-16.9164,2e+12
42,47.2275,41.8149,-11.1304,3e+12
43,-7.66194,-12.3747,-33.7656,1e+12
43,8.04444,34.978,-16.9124,2e+12
43,47.191,41.8062,-11.1365,3e+12
44,-7.64645,-12.3462,-33.7549,1e+12
44,8.09268,34.9772,-16.9083,2e+12
44,47.1537,41.7973,-11.1428,3e+12
45,-7.6306,-12.317,-33.744,1e+12
45,8.14207,34.9763,-16.9041,2e+12
45,47.1155,41.7881,-11.1493,3e+12
46,-7.61439,-12.2872,-33.7328,1e+12
46,8.1926,34.9755,-16.8998,2e+12
46,47.0764,41.7787,-11.1559,3e+12
47,-7.59782,-12.2567,-33.7213,1e+12
47,8.24429,34.9746,-16.8954,2e+12
47,47.0364,41.7692,-11.1626,3e+12
48,-7.5809,-12.2256,-33.7097,1e+12
48,8.29714,34.9738,-16.8909,2e+12
48,46.9955,41.7594,-11.1695,3e+12
49,-7.56362,-12.1939,-33.6978,1e+12
49,8.35115,34.9729,-16.8862,2e+12
49,46.9538,41.7493,-11.1766,3e+12
50,-7.54597,-12.1615,-33.6856,1e+12
50,8.40634,34.9721,-16.8815,2e+12
50,46.9111,41.7391,-11.1838,3e+12
51,-7.52797,-12.1285,-33.6732,1e+12
51,8.4627,34.9712,-16.8767,2e+12
51,46.8675,41.7287,-11.1911,3e+12
52,-7.5096,-12.0948,-33.6606,1e+12
52,8.52024,34.9704,-16.8717,2e+12
52,46.823,41.718,-11.1986,3e+12
53,-7.49087,-12.0605,-33.6477,1e+12
53,8.57898,34.9695,-16.8667,2e+12
53,46.7776,41.7071,-11.2063,3e+12
54,-7.47178,-12.0255,-33.6346,1e+12
54,8.63891,34.9687,-16.8615,2e+12
54,46.7313,41.696,-11.2141,3e+12
55,-7.45232,-11.9899,-33.6212,1e+12
55,8.70004,34.9679,-16.8562,2e+12
55,46.6841,41.6847,-11.2221,3e+12
56,-7.4325,-11.9536,-33.6076,1e+12
56,8.76238,34.9671,-16.8509,2e+12
56,46.6359,41.6732,-11.2302,3e+12
57,-7.4123,-11.9167,-33.5937,1e+12
57,8.82593,34.9663,-16.8454,2e+12
57,46.5868,41.6614,-11.2385,3e+12
58,-7.39174,-11.8791,-33.5796,1e+12
58,8.89071,34.9655,-16.8397,2e+12
58,46.5368,41.6494,-11.247,3e+12
59,-7.37082,-11.8409,-33.5653,1e+12
59,8.95672,34.9647,-16.834,2e+12
59,46.4858,41.6372,-11.2556,3e+12
60,-7.34952,-11.802,-33.5507,1e+12
60,9.02397,34.9639,-16.8282,2e+12
60,46.4339,41.6247,-11.2643,3e+12
61,-7.32785,-11.7625,-33.5358,1e+12
61,9.09246,34.9632,-16.8222,2e+12
61,46.381,41.6121,-11.2733,3e+12
62,-7.30581,-11.7223,-33.5207,1e+12
62,9.16221,34.9624,-16.8161,2e+12
62,46.3271,41.5991,-11.2824,3e+12
63,-7.28339,-11.6815,-33.5054,1e+12
63,9.23322,34.9617,-16.8099,2e+12
63,46.2723,41.586,-11.2916,3e+12
64,-7.26061,-11.64,-33.4898,1e+12
64,9.3055,34.961,-16.8036,2e+12
64,46.2165,41.5726,-11.301,3e+12
65,-7.23744,-11.5978,-33.474,1e+12
65,9.37907,34.9604,-16.7971,2e+12
65,46.1598,41.559,-11.3106,3e+12
66,-7.2139,-11.555,-33.4579,1e+12
66,9.45392,34.9597,-16.7905,2e+12
66,46.102,41.5452,-11.3204,3e+12
67,-7.18998,-11.5115,-33.4415,1e+12
67,9.53007,34.9591,-16.7838,2e+12
67,46.0433,41.5311,-11.3303,3e+12
68,-7.16568,-11.4674,-33.425,1e+12
68,9.60752,34.9586,-16.777,2e+12
68,45.9835,41.5168,-11.3404,3e+12
69,-7.141,-11.4226,-33.4081,1e+12
69,9.6863,34.958,-16.77,2e+12
69,45.9228,41.5022,-11.3506,3e+12
70,-7.11594,-11.3772,-33.3911,1e+12
70,9.7664,34.9575,-16.7629,2e+12
70,45.861,41.4874,-11.3611,3e+12
71,-7.09049,-11.3311,-33.3737,1e+12
71,9.84784,34.957,-16.7557,2e+12
71,45.7983,41.4723,-11.3717,3e+12
72,-7.06466,-11.2843,-33.3561,1e+12
72,9.93063,34.9566,-16.7483,2e+12
72,45.7345,41.457,-11.3824,3e+12
73,-7.03845,-11.2369,-33.3383,1e+12
73,10.0148,34.9562,-16.7408,2e+12
73,45.6696,41.4415,-11.3934,3e+12
74,-7.01184,-11.1888,-33.3202,1e+12
74,10.1003,34.9559,-16.7331,2e+12
74,45.6038,41.4257,-11.4045,3e+12
75,-6.98485,-11.14,-33.3019,1e+12
75,10.1872,34.9556,-16.7254,2e+12
75,45.5368,41.4096,-11.4158,3e+12
76,-6.95747,-11.0906,-33.2833,1e+12
76,10.2755,34.9553,-16.7174,2e+12
76,45.4688,41.3933,-11.4273,3e+12
77,-6.9297,-11.0405,-33.2645,1e+12
77,10.3652,34.9551,-16.7094,2e+12
77,45.3998,41.3767,-11.4389,3e+12
78,-6.90153,-10.9897,-33.2454,1e+12
78,10.4563,34.955,-16.7011,2e+12
78,45.3296,41.3599,-11.4508,3e+12
79,-6.87297,-10.9382,-33.226,1e+12
79,10.5489,34.9549,-16.6928,2e+12
79,45.2584,41.3428,-11.4628,3e+12
80,-6.84401,-10.8861,-33.2064,1e+12
80,10.6429,34.9549,-16.6842,2e+12
80,45.1861,41.3255,-11.475,3e+12
81,-6.81465,-10.8334,-33.1865,1e+12
81,10.7383,34.9549,-16.6756,2e+12
81,45.1127,41.3078,-11.4874,3e+12
82,-6.7849,-10.7799,-33.1664,1e+12
82,10.8353,34.955,-16.6667,2e+12
82,45.0381,41.2899,-11.5,3e+12
83,-6.75474,-10.7258,-33.1461,1e+12
83,10.9337,34.9552,-16.6577,2e+12
83,44.9624,41.2718,-11.5128,3e+12
84,-6.72419,-10.671,-33.1254,1e+12
84,11.0337,34.9555,-16.6486,2e+12
84,44.8856,41.2533,-11.5258,3e+12
85,-6.69322,-10.6155,-33.1045,1e+12
85,11.1351,34.9558,-16.6393,2e+12
85,44.8077,41.2346,-11.539,3e+12
86,-6.66185,-10.5594,-33.0834,1e+12
86,11.2381,34.9562,-16.6298,2e+12
86,44.7286,41.2156,-11.5523,3e+12
87,-6.63008,-10.5025,-33.062,1e+12
87,11.3426,34.9567,-16.6202,2e+12
87,44.6483,41.1964,-11.5659,3e+12
88,-6.59789,-10.445,-33.0404,1e+12
88,11.4488,34.9573,-16.6103,2e+12
88,44.5668,41.1768,-11.5797,3e+12
89,-6.56529,-10.3868,-33.0184,1e+12
89,11.5565,34.958,-16.6004,2e+12
89,44.4841,41.1569,-11.5936,3e+12
90,-6.53228,-10.328,-32.9963,1e+12
90,11.6658,34.9588,-16.5902,2e+12
90,44.4002,41.1368,-11.6078,3e+12
91,-6.49886,-10.2684,-32.9738,1e+12
91,11.7767,34.9597,-16.5798,2e+12
91,44.3151,41.1164,-11.6222,3e+12
92,-6.46501,-10.2082,-32.9511,1e+12
92,11.8893,34.9607,-16.5693,2e+12
92,44.2288,41.0956,-11.6368,3e+12
93,-6.43075,-10.1473,-32.9282,1e+12
93,12.0036,34.9618,-16.5586,2e+12
93,44.1412,41.0746,-11.6516,3e+12
94,-6.39607,-10.0857,-32.905,1e+12
94,12.1195,34.963,-16.5477,2e+12
94,44.0524,41.0532,-11.6666,3e+12
95,-6.36097,-10.0234,-32.8815,1e+12
95,12.2371,34.9643,-16.5365,2e+12
95,43.9622,41.0316,-11.6818,3e+12
96,-6.32544,-9.96038,-32.8577,1e+12
96,12.3565,34.9658,-16.5252,2e+12
96,43.8708,41.0096,-11.6973,3e+12
97,-6.28948,-9.89671,-32.8337,1e+12
97,12.4776,34.9674,-16.5137,2e+12
97,43.7781,40.9873,-11.7129,3e+12
98,-6.2531,-9.83235,-32.8095,1e+12
98,12.6006,34.9691,-16.502,2e+12
98,43.684,40.9647,-11.7288,3e+12
99,-6.21629,-9.7673,-32.7849,1e+12
99,12.7253,34.971,-16.4901,2e+12
99,43.5886,40.9418,-11.745,3e+12
100,-6.17904,-9.70155,-32.7601,1e+12
100,12.8518,34.973,-16.4779,2e+12
100,43.4918,40.9185,-11.7613,3e+12
101,-6.14136,-9.63511,-32.7351,1e+12
101,12.9802,34.9752,-16.4656,2e+12
101,43.3936,40.8949,-11.7779,3e+12
102,-6.10324,-9.56798,-32.7097,1e+12
102,13.1105,34.9776,-16.453,2e+12
102,43.2941,40.8709,-11.7948,3e+12
103,-6.06468,-9.50014,-32.6841,1e+12
103,13.2427,34.9801,-16.4402,2e+12
103,43.1931,40.8466,-11.8118,3e+12
104,-6.02568,-9.43161,-32.6583,1e+12
104,13.3768,34.9828,-16.4271,2e+12
104,43.0907,40.822,-11.8292,3e+12
105,-5.98624,-9.36238,-32.6321,1e+12
105,13.5129,34.9857,-16.4139,2e+12
105,42.9868,40.797,-11.8467,3e+12
106,-5.94635,-9.29245,-32.6057,1e+12
106,13.6511,34.9888,-16.4003,2e+12
106,42.8814,40.7716,-11.8645,3e+12
107,-5.90601,-9.22182,-32.579,1e+12
107,13.7912,34.992,-16.3865,2e+12
107,42.7745,40.7459,-11.8826,3e+12
108,-5.86522,-9.15048,-32.5521,1e+12
108,13.9335,34.9955,-16.3725,2e+12
108,42.6661,40.7198,-11.901,3e+12
109,-5.82398,-9.07844,-32.5249,1e+12
109,14.0778,34.9992,-16.3582,2e+12
109,42.5561,40.6933,-11.9196,3e+12
110,-5.78228,-9.00569,-32.4974,1e+12
110,14.2243,35.0032,-16.3436,2e+12
110,42.4446,40.6665,-11.9384,3e+12
111,-5.74012,-8.93223,-32.4696,1e+12
111,14.373,35.0073,-16.3288,2e+12
111,42.3314,40.6392,-11.9576,3e+12
112,-5.69751,-8.85807,-32.4416,1e+12
112,14.5239,35.0118,-16.3137,2e+12
112,42.2166,40.6115,-11.977,3e+12
113,-5.65443,-8.78319,-32.4133,1e+12
113,14.6771,35.0164,-16.2982,2e+12
113,42.1001,40.5834,-11.9967,3e+12
114,-5.61089,-8.70761,-32.3847,1e+12
114,14.8325,35.0214,-16.2825,2e+12
114,41.9819,40.555,-12.0167,3e+12
115,-5.56687,-8.63131,-32.3559,1e+12
115,14.9904,35.0266,-16.2665,2e+12
115,41.862,40.526,-12.037,3e+12
116,-5.52239,-8.55429,-32.3268,1e+12
116,15.1507,35.0321,-16.2502,2e+12
116,41.7403,40.4967,-12.0576,3e+12
117,-5.47743,-8.47656,-32.2973,1e+12
117,15.3134,35.038,-16.2335,2e+12
117,41.6169,40.4669,-12.0786,3e+12
118,-5.432,-8.39811,-32.2677,1e+12
118,15.4787,35.0441,-16.2165,2e+12
118,41.4915,40.4366,-12.0998,3e+12
119,-5.38609,-8.31894,-32.2377,1e+12
119,15.6465,35.0506,-16.1992,2e+12
119,41.3644,40.4059,-12.1213,3e+12
120,-5.33969,-8.23905,-32.2075,1e+12
120,15.817,35.0574,-16.1815,2e+12
120,41.2353,40.3747,-12.1432,3e+12
121,-5.29281,-8.15844,-32.177,1e+12
121,15.9901,35.0646,-16.1634,2e+12
121,41.1042,40.3431,-12.1654,3e+12
122,-5.24545,-8.07711,-32.1462,1e+12
122,16.1661,35.0722,-16.145,2e+12
122,40.9711,40.3109,-12.188,3e+12
123,-5.19759,-7.99505,-32.1151,1e+12
123,16.3448,35.0802,-16.1262,2e+12
123,40.836,40.2782,-12.2109,3e+12
124,-5.14924,-7.91226,-32.0837,1e+12
124,16.5265,35.0886,-16.107,2e+12
124,40.6988,40.245,-12.2341,3e+12
125,-5.10039,-7.82875,-32.0521,1e+12
125,16.7111,35.0974,-16.0873,2e+12
125,40.5594,40.2113,-12.2578,3e+12
126,-5.05105,-7.7445,-32.0202,1e+12
126,16.8988,35.1067,-16.0673,2e+12
126,40.4178,40.177,-12.2818,3e+12
127,-5.0012,-7.65953,-31.9879,1e+12
127,17.0896,35.1165,-16.0468,2e+12
127,40.274,40.1422,-12.3062,3e+12
128,-4.95084,-7.57382,-31.9554,1e+12
128,17.2837,35.1268,-16.0258,2e+12
128,40.1278,40.1067,-12.331,3e+12
129,-4.89998,-7.48738,-31.9227,1e+12
129,17.4811,35.1376,-16.0044,2e+12
129,39.9792,40.0707,-12.3562,3e+12
130,-4.84861,-7.4002,-31.8896,1e+12
130,17.682,35.149,-15.9824,2e+12
130,39.8282,40.034,-12.3818,3e+12
131,-4.79672,-7.31229,-31.8563,1e+12
131,17.8864,35.161,-15.96,2e+12
131,39.6746,39.9968,-12.4079,3e+12
132,-4.74431,-7.22363,-31.8226,1e+12
132,18.0945,35.1736,-15.937,2e+12
132,39.5185,39.9588,-12.4345,3e+12
133,-4.69138,-7.13424,-31.7887,1e+12
133,18.3063,35.1869,-15.9135,2e+12
133,39.3596,39.9202,-12.4615,3e+12
134,-4.63793,-7.0441,-31.7545,1e+12
134,18.5221,35.2008,-15.8894,2e+12
134,39.1979,39.8808,-12.4889,3e+12
135,-4.58395,-6.95322,-31.72,1e+12
135,18.7419,35.2155,-15.8646,2e+12
135,39.0334,39.8407,-12.5169,3e+12
136,-4.52944,-6.86159,-31.6852,1e+12
136,18.966,35.2309,-15.8393,2e+12
136,38.8658,39.7999,-12.5454,3e+12
137,-4.47439,-6.76922,-31.6501,1e+12
137,19.1944,35.2472,-15.8132,2e+12
137,38.6952,39.7583,-12.5745,3e+12
138,-4.4188,-6.6761,-31.6147,1e+12
138,19.4274,35.2644,-15.7865,2e+12
138,38.5213,39.7158,-12.6041,3e+12
139,-4.36267,-6.58222,-31.579,1e+12
139,19.6652,35.2824,-15.7591,2e+12
139,38.3441,39.6725,-12.6343,3e+12
140,-4.306,-6.4876,-31.543,1e+12
140,19.9079,35.3015,-15.7308,2e+12
140,38.1634,39.6282,-12.6651,3e+12
141,-4.24878,-6.39222,-31.5068,1e+12
141,20.1559,35.3216,-15.7018,2e+12
141,37.979,39.583,-12.6965,3e+12
142,-4.191,-6.29608,-31.4702,1e+12
142,20.4092,35.3428,-15.6719,2e+12
142,37.7908,39.5368,-12.7287,3e+12
143,-4.13267,-6.19919,-31.4333,1e+12
143,20.6684,35.3652,-15.6411,2e+12
143,37.5987,39.4896,-12.7615,3e+12
144,-4.07377,-6.10154,-31.3962,1e+12
144,20.9335,35.3889,-15.6093,2e+12
144,37.4023,39.4413,-12.795,3e+12
145,-4.01431,-6.00312,-31.3587,1e+12
145,21.205,35.414,-15.5765,2e+12
145,37.2015,39.3917,-12.8294,3e+12
146,-3.95429,-5.90395,-31.321,1e+12
146,21.4832,35.4406,-15.5426,2e+12
146,36.996,39.3409,-12.8646,3e+12
147,-3.89369,-5.80401,-31.2829,1e+12
147,21.7686,35.4688,-15.5075,2e+12
147,36.7855,39.2888,-12.9007,3e+12
148,-3.83252,-5.7033,-31.2446,1e+12
148,22.0616,35.4988,-15.4712,2e+12
148,36.5698,39.2353,-12.9377,3e+12
149,-3.77077,-5.60183,-31.2059,1e+12
149,22.3628,35.5307,-15.4335,2e+12
149,36.3484,39.1802,-12.9757,3e+12
150,-3.70843,-5.49958,-31.1669,1e+12
150,22.6727,35.5647,-15.3943,2e+12
150,36.121,39.1234,-13.0148,3e+12
151,-3.64551,-5.39656,-31.1276,1e+12
151,22.992,35.601,-15.3535,2e+12
151,35.8871,39.0648,-13.0551,3e+12
152,-3.58199,-5.29277,-31.0881,1e+12
152,23.3216,35.64,-15.3109,2e+12
152,35.6462,39.0043,-13.0967,3e+12
153,-3.51788,-5.1882,-31.0482,1e+12
153,23.6624,35.6818,-15.2663,2e+12
153,35.3977,38.9415,-13.1397,3e+12
154,-3.45317,-5.08286,-31.008,1e+12
154,24.0155,35.7269,-15.2196,2e+12
154,35.1407,38.8764,-13.1843,3e+12
155,-3.38786,-4.97673,-30.9675,1e+12
155,24.3823,35.7757,-15.1705,2e+12
155,34.8744,38.8085,-13.2305,3e+12
156,-3.32194,-4.86983,-30.9267,1e+12
156,24.7643,35.8287,-15.1185,2e+12
156,34.5978,38.7375,-13.2788,3e+12
157,-3.2554,-4.76214,-30.8855,1e+12
157,25.1635,35.8867,-15.0634,2e+12
157,34.3094,38.6629,-13.3292,3e+12
158,-3.18825,-4.65366,-30.8441,1e+12
158,25.5827,35.9506,-15.0046,2e+12
158,34.0076,38.5842,-13.3822,3e+12
159,-3.12048,-4.54439,-30.8024,1e+12
159,26.025,36.0215,-14.9413,2e+12
159,33.6902,38.5004,-13.4383,3e+12
160,-3.05209,-4.43434,-30.7603,1e+12
160,26.495,36.1013,-14.8727,2e+12
160,33.354,38.4106,-13.4981,3e+12
161,-2.98306,-4.32349,-30.7179,1e+12
161,26.9993,36.1925,-14.7972,2e+12
161,32.9948,38.3128,-13.5625,3e+12
162,-2.9134,-4.21184,-30.6752,1e+12
162,27.5476,36.2991,-14.7128,2e+12
162,32.606,38.2045,-13.6331,3e+12
163,-2.84311,-4.0994,-30.6322,1e+12
163,28.1563,36.4283,-14.6155,2e+12
163,32.1768,38.0809,-13.7123,3e+12
164,-2.77217,-3.98615,-30.5889,1e+12
164,28.8568,36.5952,-14.4975,2e+12
164,31.6862,37.9319,-13.8053,3e+12
165,-2.70059,-3.87211,-30.5452,1e+12
165,29.7292,36.8431,-14.3376,2e+12
165,31.0807,37.7286,-13.9265,3e+12
166,-2.62835,-3.75725,-30.5013,1e+12
166,31.1855,37.4736,-14.0001,2e+12
166,30.0858,37.27,-14.1662,3e+12
167,-2.55547,-3.64158,-30.457,1e+12
167,31.1183,37.8219,-13.8927,2e+12
167,30.1063,36.9993,-14.2525,3e+12
168,-2.48192,-3.5251,-30.4123,1e+12
168,30.2326,37.5049,-14.0763,2e+12
168,30.6722,37.1718,-14.145,3e+12
169,-2.40771,-3.4078,-30.3674,1e+12
169,34.473,33.3039,-15.0604,2e+12
169,27.8206,39.9333,-13.5039,3e+12
170,-2.33284,-3.28968,-30.3221,1e+12
170,38.6978,29.1181,-16.041,2e+12
170,24.9791,42.6845,-12.8653,3e+12
171,-2.25731,-3.17077,-30.2765,1e+12
171,42.9187,24.9358,-17.0208,2e+12
171,22.14,45.433,-12.2273,3e+12
172,-2.18116,-3.05112,-30.2306,1e+12
172,47.1378,20.755,-18.0002,2e+12
172,19.3018,48.1803,-11.5897,3e+12
173,-2.10443,-2.93077,-30.1844,1e+12
173,51.3559,16.575,-18.9795,2e+12
173,16.4642,50.9269,-10.9522,3e+12
174,-2.02716,-2.8098,-30.138,1e+12
174,55.5732,12.3955,-19.9587,2e+12
174,13.6269,53.6729,-10.3149,3e+12
175,-1.9494,-2.68826,-30.0914,1e+12
175,59.7899,8.21637,-20.9378,2e+12
175,10.7898,56.4185,-9.67766,3e+12
176,-1.87123,-2.5662,-30.0445,1e+12
176,64.0062,4.03747,-21.9169,2e+12
176,7.95293,59.1638,-9.04055,3e+12
177,-1.79269,-2.44369,-29.9975,1e+12
177,68.2221,-0.141237,-22.896,2e+12
177,5.11615,61.9087,-8.40353,3e+12
178,-1.71384,-2.32076,-29.9503,1e+12
178,72.4377,-4.31977,-23.875,2e+12
178,2.27946,64.6534,-7.76658,3e+12
179,-1.63472,-2.19746,-29.9029,1e+12
179,76.6531,-8.49816,-24.854,2e+12
179,-0.557139,67.3979,-7.12969,3e+12
180,-1.55539,-2.07382,-29.8554,1e+12
180,80.8682,-12.6764,-25.833,2e+12
180,-3.39366,70.1422,-6.49286,3e+12
181,-1.47587,-1.94987,-29.8078,1e+12
181,85.0831,-16.8546,-26.812,2e+12
181,-6.23012,72.8864,-5.85608,3e+12
182,-1.3962,-1.82565,-29.7601,1e+12
182,89.2979,-21.0327,-27.7909,2e+12
182,-9.06651,75.6303,-5.21934,3e+12
183,-1.31641,-1.70117,-29.7123,1e+12
183,93.5125,-25.2106,-28.7699,2e+12
183,-11.9028,78.3741,-4.58265,3e+12
184,-1.23652,-1.57646,-29.6645,1e+12
184,97.7269,-29.3885,-29.7488,2e+12
184,-14.7391,81.1178,-3.94599,3e+12
185,-1.15655,-1.45154,-29.6165,1e+12
185,101.941,-33.5663,-30.7277,2e+12
185,-17.5754,83.8614,-3.30937,3e+12
186,-1.07651,-1.32642,-29.5685,1e+12
186,106.156,-37.7441,-31.7066,2e+12
186,-20.4115,86.6049,-2.67278,3e+12
187,-0.996418,-1.20113,-29.5204,1e+12
187,110.37,-41.9218,-32.6855,2e+12
187,-23.2477,89.3483,-2.03622,3e+12
188,-0.916287,-1.07567,-29.4722,1e+12
188,114.584,-46.0995,-33.6644,2e+12
188,-26.0838,92.0915,-1.39968,3e+12
189,-0.836125,-0.950061,-29.424,1e+12
189,118.798,-50.2771,-34.6432,2e+12
189,-28.9198,94.8347,-0.763165,3e+12
190,-0.75594,-0.82431,-29.3758,1e+12
190,123.012,-54.4546,-35.6221,2e+12
190,-31.7559,97.5778,-0.126673,3e+12
191,-0.675738,-0.698427,-29.3275,1e+12
191,127.226,-58.6321,-36.6009,2e+12
191,-34.5918,100.321,0.509798,3e+12
192,-0.595524,-0.572424,-29.2792,1e+12
192,131.439,-62.8096,-37.5798,2e+12
192,-37.4278,103.064,1.14625,3e+12
193,-0.515304,-0.446307,-29.2308,1e+12
193,135.653,-66.987,-38.5586,2e+12
193,-40.2637,105.807,1.78269,3e+12
194,-0.435081,-0.320085,-29.1824,1e+12
194,139.867,-71.1644,-39.5375,2e+12
194,-43.0996,108.55,2.41911,3e+12
195,-0.354858,-0.193764,-29.134,1e+12
195,144.081,-75.3418,-40.5163,2e+12
195,-45.9354,111.292,3.05551,3e+12
196,-0.274637,-0.0673514,-29.0855,1e+12
196,148.294,-79.5191,-41.4951,2e+12
196,-48.7713,114.035,3.6919,3e+12
197,-0.194422,0.0591477,-29.037,1e+12
197,152.508,-83.6964,-42.4739,2e+12
197,-51.6071,116.778,4.32828,3e+12
198,-0.114213,0.185728,-28.9885,1e+12
198,156.721,-87.8737,-43.4527,2e+12
